collection_year,collection_label,survey,table_name,table_title,release,url
2015,201516,Completions,C2015_C,"Number of students receiving awards/degrees, by award level and by gender, race/ethnicity and age categories: July 1, 2014 to June 30, 2015",Final,https://nces.ed.gov/ipeds/datacenter/data/C2015_C.zip
2015,201516,Completions,C2015DEP,"Number of programs offered and number of programs offered via distance education, by award level: July 1, 2014 to June 30, 2015",Final,https://nces.ed.gov/ipeds/datacenter/data/C2015DEP.zip
2015,201516,Completions,DRVC2015,"Frequently used derived variables (C): Completions, July 1, 2014 to June 30, 2015",Final,https://nces.ed.gov/ipeds/datacenter/data/DRVC2015.zip
2015,201516,Student Financial Aid,SFA1415_P1,Student financial aid: 2014-15,Final,https://nces.ed.gov/ipeds/datacenter/data/SFA1415_P1.zip
2015,201516,Student Financial Aid,SFA1415_P2,Student financial aid and net price: 2014-15,Final,https://nces.ed.gov/ipeds/datacenter/data/SFA1415_P2.zip
2015,201516,Student Financial Aid,SFAV1415,"Military Servicemembers and Veteran's Benefits, 2014-15",Final,https://nces.ed.gov/ipeds/datacenter/data/SFAV1415.zip
2015,201516,Graduation Rates,GR2015,"Graduation rate data, 150% of normal time to complete - cohort year 2009 (4-year) and cohort year 2012 (2-year) institutions",Final,https://nces.ed.gov/ipeds/datacenter/data/GR2015.zip
2015,201516,Graduation Rates,GR2015_L2,"Graduation rate data, 150% of normal time to complete - cohort year 2012 (less-than-2-year institutions)",Final,https://nces.ed.gov/ipeds/datacenter/data/GR2015_L2.zip
2015,201516,Graduation Rates,GR200_15,"Graduation rate data, 200% of normal time to complete - cohort year 2006  (4-year) and cohort year 2010 (less-than-4-year)  institutions",Final,https://nces.ed.gov/ipeds/datacenter/data/GR200_15.zip
2015,201516,Graduation Rates,DRVGR2015,Frequently used derived varables (GR) 150% of normal time to complete - cohort year 2009 (4-year) and cohort year 2012 (2-year) institutions,Final,https://nces.ed.gov/ipeds/datacenter/data/DRVGR2015.zip
2015,201516,Outcome Measures,OM2015,Award and enrollment data at six and eight years for four entering undergraduate cohorts from 2007 - degree granting institutions,Final,https://nces.ed.gov/ipeds/datacenter/data/OM2015.zip
2015,201516,Finance,F1415_F1A,Public institutions - GASB 34/35: Fiscal year 2015,Final,https://nces.ed.gov/ipeds/datacenter/data/F1415_F1A.zip
2015,201516,Finance,F1415_F2,Private not-for-profit institutions or Public institutions using FASB: Fiscal year 2015,Final,https://nces.ed.gov/ipeds/datacenter/data/F1415_F2.zip
2015,201516,Finance,F1415_F3,Private for-profit institutions: Fiscal year 2015,Final,https://nces.ed.gov/ipeds/datacenter/data/F1415_F3.zip
2015,201516,Finance,DRVF2015,Frequently used/derived variables Finance (F): Fiscal year 2015,Final,https://nces.ed.gov/ipeds/datacenter/data/DRVF2015.zip
2015,201516,Human Resources,EAP2015,"Number of staff by occupational category, faculty and tenure status:  Fall 2015",Final,https://nces.ed.gov/ipeds/datacenter/data/EAP2015.zip
2015,201516,Human Resources,SAL2015_IS,"Number and salary outlays for full-time nonmedical instructional staff, by  gender, and academic rank:  Academic year 2015-16",Final,https://nces.ed.gov/ipeds/datacenter/data/SAL2015_IS.zip
2015,201516,Human Resources,SAL2015_NIS,Number and salary outlays for full-time nonmedical  noninstructional staff by occupation: Academic year 2015-16,Final,https://nces.ed.gov/ipeds/datacenter/data/SAL2015_NIS.zip
2015,201516,Human Resources,S2015_OC,"Full- and part-time staff by occupational category, race/ethnicity, and gender:  Fall 2015",Final,https://nces.ed.gov/ipeds/datacenter/data/S2015_OC.zip
2015,201516,Human Resources,S2015_SIS,"Full-time instructional staff, by academic rank, faculty and tenure status  (Degree-granting institutions): Fall 2015",Final,https://nces.ed.gov/ipeds/datacenter/data/S2015_SIS.zip
2015,201516,Human Resources,S2015_IS,"Full-time instructional staff, by faculty and tenure status, academic rank, race/ethnicity, and gender (Degree-granting institutions): Fall 2015",Final,https://nces.ed.gov/ipeds/datacenter/data/S2015_IS.zip
2015,201516,Human Resources,S2015_NH,"New hires by occupational category, race/ethnicity, and gender (Degree-granting institutions):  Fall 2015",Final,https://nces.ed.gov/ipeds/datacenter/data/S2015_NH.zip
2015,201516,Human Resources,DRVHR2015,Frequently used/derived variables Human resources (HR): Fall 2015,Final,https://nces.ed.gov/ipeds/datacenter/data/DRVHR2015.zip
2015,201516,Academic Libraries,AL2015,"Academic Libraries, 2015-16",Final,https://nces.ed.gov/ipeds/datacenter/data/AL2015.zip
2015,201516,Academic Libraries,DRVAL2015,Frequently used/derived variables Academic library indicators: Fiscal year 2015,Final,https://nces.ed.gov/ipeds/datacenter/data/DRVAL2015.zip
2016,201617,Institutional Characteristics,HD2016,Directory information,Provisional/final (institutions are not  allowed to revise these data),https://nces.ed.gov/ipeds/datacenter/data/HD2016.zip
2016,201617,Institutional Characteristics,FLAGS2016,Response status for all survey components,Final,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2016.zip
2016,201617,Institutional Characteristics,IC2016,"Educational offerings, organization, admissions, services and athletic associations",Final,https://nces.ed.gov/ipeds/datacenter/data/IC2016.zip
2016,201617,Institutional Characteristics,IC2016_AY,Student charges for academic year programs,Provisional/final (institutions are not  allowed to revise these data),https://nces.ed.gov/ipeds/datacenter/data/IC2016_AY.zip
2016,201617,Institutional Characteristics,IC2016_PY,Student charges by program (vocational programs),Provisional/final (institutions are not  allowed to revise these data),https://nces.ed.gov/ipeds/datacenter/data/IC2016_PY.zip
2016,201617,Institutional Characteristics,DRVIC2016,Frequently used derived variables (IC): Total cost of attendance,Provisional/final (institutions are not  allowed to revise these data),https://nces.ed.gov/ipeds/datacenter/data/DRVIC2016.zip
2016,201617,Institutional Characteristics,IC2016MISSION,Mission statement,Provisional/final (institutions are not  allowed to revise these data),https://nces.ed.gov/ipeds/datacenter/data/IC2016MISSION.zip
2016,201617,Institutional Characteristics,CUSTOMCGIDS2016,Custom comparison groups,Provisional/final (institutions are not  allowed to revise these data),https://nces.ed.gov/ipeds/datacenter/data/CUSTOMCGIDS2016.zip
2016,201617,Admissions,ADM2016,"Admission considerations, applicants, admissions, and test scores",Final,https://nces.ed.gov/ipeds/datacenter/data/ADM2016.zip
2016,201617,Admissions,DRVADM2016,Frequently used derived variables for admissions. Selectivity and admissions yield,Final,https://nces.ed.gov/ipeds/datacenter/data/DRVADM2016.zip
2016,201617,12-month Enrollment,EFFY2016,12-month unduplicated headcount: 2015-16,Final,https://nces.ed.gov/ipeds/datacenter/data/EFFY2016.zip
2016,201617,12-month Enrollment,EFIA2016,12-month instructional activity: 2015-16,Final,https://nces.ed.gov/ipeds/datacenter/data/EFIA2016.zip
2016,201617,12-month Enrollment,DRVEF122016,"Frequently used derived variables (E12): 12-month enrollment, 2015-16",Final,https://nces.ed.gov/ipeds/datacenter/data/DRVEF122016.zip
2016,201617,Fall Enrollment,EF2016,"Gender, attendance status, and level of student: Fall 2016",Final,https://nces.ed.gov/ipeds/datacenter/data/EF2016.zip
2016,201617,Fall Enrollment,EF2016A,"Race/ethnicity, gender, attendance status, and level of student: Fall 2016",Final,https://nces.ed.gov/ipeds/datacenter/data/EF2016A.zip
2016,201617,Fall Enrollment,EF2016CP,"Major field of study, race/ethnicity, gender, attendance status, and level of student: Fall 2016",Final,https://nces.ed.gov/ipeds/datacenter/data/EF2016CP.zip
2016,201617,Fall Enrollment,EF2016B,"Age category, gender, attendance status, and level of student: Fall 2016 (optional)",Final,https://nces.ed.gov/ipeds/datacenter/data/EF2016B.zip
2016,201617,Fall Enrollment,EF2016C,Residence and migration of first-time freshman: Fall 2016,Final,https://nces.ed.gov/ipeds/datacenter/data/EF2016C.zip
2016,201617,Fall Enrollment,EF2016D,"Total entering class, retention rates, and student-to-faculty ratio: Fall 2016",Final,https://nces.ed.gov/ipeds/datacenter/data/EF2016D.zip
2016,201617,Fall Enrollment,EF2016A_DIST,Distance education status and level of student: Fall 2016,Final,https://nces.ed.gov/ipeds/datacenter/data/EF2016A_DIST.zip
2016,201617,Fall Enrollment,DRVEF2016,Frequently used derived variables (EF): Fall enrollment 2016,Final,https://nces.ed.gov/ipeds/datacenter/data/DRVEF2016.zip
2016,201617,Completions,C2016_A,"Awards/degrees conferred by program (6-digit CIP code), award level, race/ethnicity, and gender: July 1, 2015 to June 30, 2016",Final,https://nces.ed.gov/ipeds/datacenter/data/C2016_A.zip
2016,201617,Completions,C2016_B,"Number of students receiving awards/degrees, by race/ethnicity and gender: July 1, 2015 to June 30, 2016",Final,https://nces.ed.gov/ipeds/datacenter/data/C2016_B.zip
2016,201617,Completions,C2016_C,"Number of students receiving awards/degrees, by award level and by gender, race/ethnicity and age categories: July 1, 2015 to June 30, 2016",Final,https://nces.ed.gov/ipeds/datacenter/data/C2016_C.zip
2016,201617,Completions,C2016DEP,"Number of programs offered and number of programs offered via distance education, by award level: July 1, 2015 to June 30, 2016",Final,https://nces.ed.gov/ipeds/datacenter/data/C2016DEP.zip
2016,201617,Completions,DRVC2016,"Frequently used derived variables (C): Completions, July 1, 2015 to June 30, 2016",Final,https://nces.ed.gov/ipeds/datacenter/data/DRVC2016.zip
2016,201617,Student Financial Aid,SFA1516_P1,Student financial aid: 2015-16,Final,https://nces.ed.gov/ipeds/datacenter/data/SFA1516_P1.zip
2016,201617,Student Financial Aid,SFA1516_P2,Student financial aid and net price: 2015-16,Final,https://nces.ed.gov/ipeds/datacenter/data/SFA1516_P2.zip
2016,201617,Student Financial Aid,SFAV1516,"Military Servicemembers and Veteran's Benefits, 2015-6",Final,https://nces.ed.gov/ipeds/datacenter/data/SFAV1516.zip
2016,201617,Graduation Rates,GR2016,"Graduation rate data, 150% of normal time to complete - cohort year 2010 (4-year) and cohort year 2013 (2-year) institutions",Final,https://nces.ed.gov/ipeds/datacenter/data/GR2016.zip
2016,201617,Graduation Rates,GR2016_L2,"Graduation rate data, 150% of normal time to complete - cohort year 2013 (less-than-2-year institutions)",Final,https://nces.ed.gov/ipeds/datacenter/data/GR2016_L2.zip
2016,201617,Graduation Rates,GR2016_PELL_SSL,"Graduation rate data for Pell Grant and Subsidized Stafford loan recipients, 150% of normal time to complete - cohort year 2010 (4-year) and cohort year 2013 (2-year) institutions",Final,https://nces.ed.gov/ipeds/datacenter/data/GR2016_PELL_SSL.zip
2016,201617,Graduation Rates,GR200_16,"Graduation rate data, 200% of normal time to complete - cohort year 2008  (4-year) and cohort year 2012 (less-than-4-year)  institutions",Final,https://nces.ed.gov/ipeds/datacenter/data/GR200_16.zip
